tumult,"骚乱，暴动：disorderly, disturbance"
sunder,"分裂，分离：break apart"
propitious,"吉祥的：favorably happy outcome"
prodigious,"巨大的：great in size；惊人的，了不起的：astonishment"
propitiate,"抚慰，劝解：appease"
flank,"1.n. 侧面；侧翼；侧腹 2.vt. 守侧面；位于…的侧面；攻击侧面 3.vi. 侧面与…相接 4.adv. 在左右两边 5.n. (Flank)人名；(瑞典、匈)弗兰克；(法)弗朗克[新经济人高频]"
flak,"n.高射炮；抨击[红宝书]"
flunk,"v.（考试）不及格[红宝书]"
lank,"细长瘦弱的：long lean；不僵硬的，柔软松弛的：limp, not stiff"
plank,"n.厚木板；要点 v.铺板[红宝书]"
rapier,"n.轻剑 "
circus,"环形广场，（用于某些地名）圆形广场, <口>乱哄哄的热闹场面 "
pillory,"当众嘲弄：public contempt"
pillar,"柱子：support；（物质、精神等方面的）支柱：support"
prowess,"英勇，勇敢：superior, courage"
growers,"1.雏[新经济人高频]"
press,"v.挤压[红宝书]"
protest,"v./n.抗议，反对[红宝书]"
derring-do,"n.拼命的勇气，大胆的行为，蛮勇 "
lampoon,"讽刺：harsh satire"
balk,"阻碍：check, obstacle; 不愿接受，拒绝：unwillingness"
bale,"痛苦，悲哀：sorrow"
balky,"不服管束的，倔强的：refusing"
balm,"香油，止痛膏，安慰物：sweet-smelling oil, soothe; 香气：pleasant smell"
bask,"休息，悠然自得：lie or relax"
bilk,"v.躲债；骗取[红宝书]"
contemplate,"沉思，仔细考虑：consider"
contemplative,"adj.沉思的 n.沉思者[红宝书]"
contaminate,"污染，感染：stain"
contemplation,"n.注视，凝视；意图；期望[红宝书]"
contempt,"蔑视，鄙视：unworthy of one's concern or respect"
template,"1.n. 模板，样板[新经济人高频]"
neophyte,"初学者，新手：beginner"
behoove,"对...有利：necessary, proper, advantageous"
forthwith,"即刻，毫不拖延地, 即时 "
promulgate,"正式宣布：make known"
profligate,"挥金如土的，挥霍的：wasteful；败家子：spends money freely；堕落的人：below the normal moral standard"
propagate,"繁殖：increase；传播，宣传：spread out"
peripatetic,"巡游的，四处游历的：place to place"
itinerant,"a.巡回的[红宝书]"
itinerary,"n.行程表；旅行路线[红宝书]"
penurious,"贫穷的，赤贫的, 吝啬的 "
dismissive,"拒绝的, 轻蔑的，鄙视的 "
vanguard,"先锋，前锋, 先驱，领导者 "
brink,"n.(峭壁的)边沿，边缘[红宝书]"
briny,"a.盐水的，咸的[红宝书]"
brisk,"充满生机的，有活力的：activity; （言辞或方式）尖刻辛辣的，刻薄的：keen or sharp"
