fulsome,"a.虚情假意的；充足的[红宝书]"
superfluous,"多余的，过剩的：exceeding sufficient"
facile,"表面的，浅尝辄止的：lack of depth；容易的，唾手可得的：easily accomplished"
agile,"a.敏捷的，灵活的[红宝书]"
docile,"a.驯服的，听话的[红宝书]"
fable,"寓言故事：story teach a basic truth；神话，传说：story of supernatural happenings；谎言，虚构：statement in order to deceive"
famine,"n.饥荒[红宝书]"
fickle,"易变的：likely to change；不忠诚的：not true in one’s allegiance"
file,"n.锉刀；v.锉平[红宝书]"
fragile,"易碎的：broken；易受伤的，脆弱的：easily injured"
futile,"无效的，无用的：ineffective；不严肃的：lacking in seriousness"
gracile,"a.细弱的，纤细优美的[红宝书]"
labile,"易变的，不稳定的：unstable"
tackle,"着手处理：start work"
tactile,"有触觉的，能触知的：touch tangible"
debonair,"无忧无虑，不在乎的：freedom from worries or troubles；风度翩翩的：polished and worldly manners"
smug,"自大的，自鸣得意的：opinion of oneself；整洁的，有序的：good order"
slug,"v.猛击，拳击[红宝书]"
smut,"n.污迹，黑穗病；v.弄脏[红宝书]"
snug,"a.温暖的，舒适的[红宝书]"
histrionic,"戏剧的，演员的：relating to actors"
vitriolic,"（言辞）刻薄的：scathing"
concoct,"捏造, 图谋，策划 "
purport,"n.意义，涵义，主旨[红宝书]"
purported,"a.谣传的，声张的，号称的[红宝书]"
intricate,"a.复杂难懂的[红宝书]"
extricate,"使解脱，救出：free entanglement"
indicate,"1.vt. 表明；指出；预示；象征[新经济人高频]"
intimate,"有紧密联系的，亲密无间的：close association；不为人知的：not known；密友：person who has a strong liking；迂回地交流，间接地沟通：communicate indirectly"
intoxicate,"v.(使)沉醉，(使)欣喜若狂；(使)喝醉[红宝书]"
intricacy,"n.错综，复杂，纷乱[红宝书]"
psyche,"n.心智，精神[红宝书]"
backdrop,"n.(事情的)背景；背景幕布[红宝书]"
historical,"有根据的, 基于史实的 "
quarry,"采石场：stone is obtained；目标，猎物：pursuit"
Harry,"1.vt. 折磨；掠夺；骚扰；使苦恼 2.n. (Harry)人名；(英)哈里，哈丽(女名)(教名Henry、Harriet的昵称)[新经济人高频]"
Larry,"1.n. 拌浆锄；小车，[矿业] 斗底车[新经济人高频]"
harry,"不断烦扰，骚扰：distress, harass"
parry,"躲避（问题）：evade"
quarrel,"n.争吵[红宝书]"
query,"v.质疑，疑问；n.问题，疑问[红宝书]"
tarry,"v.耽搁[红宝书]"
cryptozoology,"n.（研究传说中动物存在可能性的）传说动物学 "
irascible,"易怒的：easily provoked anger"
insolence,"n.傲慢，无礼[红宝书]"
innocence,"n.无辜，清白[红宝书]"
insolent,"粗野的，无礼的：rude"
insolvency,"n.无力偿还；破产[红宝书]"
grandeur,"宏伟，壮丽：grand"
gander,"n.雄鹅；笨人，傻瓜v.闲逛[红宝书]"
buttress,"扶墙：supporting, wall building; 为···提供支撑的证据或者信息：provide evidence or information for"
byzantine,"错综复杂的：complicated, secretive, interrelated"
arabesque,"阿拉伯图案, 阿拉贝斯克芭蕾舞姿（独脚站立，手前伸，另一脚一手向后伸） adj.阿拉伯式图案的 "
dilapidate,"（使）荒废：ruin"
dilapidated,"adj.破旧的，毁坏的[红宝书]"
neoclassical,"adj.新古典主义的 "
cobble,"1.n. 鹅卵石，圆石 2.n. (Cobble)人名；(英)科布尔 3.vt. 修，拙劣地修补；铺鹅卵石，用圆石铺面[新经济人高频]"
gobble,"狼吞虎咽：eat greedily"
hobble,"跛行，蹒跚而行：haltingly or with difficulty；阻碍，妨碍：hamper the action"
wobble,"摇晃，颤抖：move or proceed unsteadily；犹豫不决：show uncertainty"
babble,"发出含糊无意义的嘟囔声，胡乱说：utter, meaningless; 闲聊：rambling conversation"
cable,"1.n. 缆绳；电缆；海底电报 2.vt. 打电报 3.vi. 打海底电报[新经济人高频]"
coddle,"v.溺爱；悉心照料[红宝书]"
dabble,"涉猎，对…浅尝辄止：superficially"
foible,"小缺点：minor flaw"
gabble,"v.急促而不清楚的说[红宝书]"
mobile,"可移动的：capable moving；可变的：changeable"
nibble,"准确，精准：careful details；细微之处：fine point"
pebble,"1.n. 卵石；水晶透镜 2.vt. 用卵石铺[新经济人高频]"
rabble,"混乱的人群；暴民；下层群众：disorganized crowd of people"
rubble,"1.n. 碎石，碎砖；粗石堆[新经济人高频]"
